,d,Geographic Area N,Total,Male,Female,Total Under 18 year,Male Under 18 year,Female Under 18 year,Total 60 years and over,Male 60 years and over,Female 60 years and over,Median age (years),Sex ratio (males per 100 females),Age dependency ratio,Old-age dependency ratio,Child dependency ratio,county_state_name,full_county_fips,percent_under18,percent_over60,COUNTYFIPS,hospital_bed_count,hospital_count
0,0500000US01117,"Shelby County, Alabama",215707,105022,110685,48670,25382,23288,47098,21899,25199,40.4,94.9,61.3,24.9,36.4,"Shelby County, Alabama",01117,22.563013717681855,21.834247381865215,01117,349.0,3.0
1,0500000US01121,"Talladega County, Alabama",79828,38489,41339,16810,8292,8518,20479,8991,11488,41.5,93.1,64.3,29.7,34.6,"Talladega County, Alabama",01121,21.057774214561306,25.653905897680012,01121,285.0,2.0
2,0500000US01125,"Tuscaloosa County, Alabama",208911,99576,109335,43992,21652,22340,39432,18110,21322,33.0,91.1,52.0,20.0,32.0,"Tuscaloosa County, Alabama",01125,21.05777101253644,18.875023335295893,01125,933.0,4.0
3,0500000US04021,"Pinal County, Arizona",447138,233292,213846,101143,52140,49003,118634,56331,62303,39.8,109.1,75.2,35.6,39.6,"Pinal County, Arizona",04021,22.620085968984966,26.53185370064723,04021,249.0,3.0
4,0500000US06045,"Mendocino County, California",87606,43017,44589,18535,9033,9502,25968,12178,13790,42.9,96.5,75.2,38.1,37.1,"Mendocino County, California",06045,21.1572266739721,29.641805355797544,06045,141.0,3.0
5,0500000US06059,"Orange County, California",3185968,1573189,1612779,698786,357863,340923,659502,300043,359459,38.3,97.5,58.0,23.4,34.7,"Orange County, California",06059,21.933239756331513,20.70020791169277,06059,8444.0,41.0
6,0500000US06067,"Sacramento County, California",1540975,752842,788133,363911,185405,178506,310577,138464,172113,36.4,95.5,60.6,22.7,37.9,"Sacramento County, California",06067,23.61563295965217,20.154577459076233,06067,4159.0,18.0
7,0500000US12017,"Citrus County, Florida",147929,72104,75825,21949,10741,11208,68279,32959,35320,57.2,95.1,105.0,74.6,30.4,"Citrus County, Florida",12017,14.837523406499065,46.15660215373592,12017,332.0,2.0
8,0500000US17143,"Peoria County, Illinois",180621,87818,92803,42559,21480,21079,42897,19618,23279,38.0,94.6,67.5,28.0,39.5,"Peoria County, Illinois",17143,23.562597926044038,23.749730097829154,17143,1122.0,4.0
9,0500000US18059,"Hancock County, Indiana",76351,37401,38950,17780,8866,8914,17026,8040,8986,38.8,96.0,67.4,28.4,39.0,"Hancock County, Indiana",18059,23.287186808293278,22.29964244083247,18059,68.0,1.0
10,0500000US18067,"Howard County, Indiana",82366,39675,42691,18632,9553,9079,21163,9393,11770,42.1,92.9,72.3,33.3,39.0,"Howard County, Indiana",18067,22.620984386761528,25.69385426025302,18067,254.0,3.0
11,0500000US22105,"Tangipahoa Parish, Louisiana",133777,65151,68626,32871,16920,15951,26868,11903,14965,36.3,94.9,63.5,23.3,40.2,"Tangipahoa Parish, Louisiana",22105,24.571488372440704,20.084169924575974,22105,424.0,9.0
12,0500000US25003,"Berkshire County, Massachusetts",126348,61499,64849,21564,11413,10151,39858,17889,21969,47.3,94.8,67.2,38.7,28.5,"Berkshire County, Massachusetts",25003,17.06714787729129,31.546205717542026,25003,359.0,3.0
13,0500000US27139,"Scott County, Minnesota",147381,72552,74829,40100,20118,19982,23675,10252,13423,37.0,97.0,62.0,17.9,44.1,"Scott County, Minnesota",27139,27.208391855123793,16.063807410724586,27139,142.0,2.0
14,0500000US36087,"Rockland County, New York",325695,160230,165465,91712,47212,44500,70767,31462,39305,35.9,96.8,78.1,27.9,50.2,"Rockland County, New York",36087,28.15886028339397,21.727997052457056,36087,1169.0,4.0
15,0500000US36105,"Sullivan County, New York",75498,38858,36640,16002,8306,7696,19409,9530,9879,42.7,106.1,66.7,31.3,35.3,"Sullivan County, New York",36105,21.195263450687435,25.70796577392779,36105,169.0,2.0
